devicename,sensor,deviceid,value,dbtimestamp
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:30:04.7792450
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:30:04.7718000
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:30:04.7659750
NDS011,SCD41 Humidity,12,95.44366,2024-07-30T16:30:03.9538480
NDS011,SCD41 Temperature,12,28.751812,2024-07-30T16:30:03.9488850
NDS011,SCD41 CO2,12,467,2024-07-30T16:30:03.9429840
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:29:33.2471560
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:29:33.2427470
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:29:33.2374410
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:29:33.2319110
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:29:33.2268550
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:29:33.2218570
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:29:33.2137800
NDS011,SCD41 Humidity,12,95.773254,2024-07-30T16:29:32.4048540
NDS011,SCD41 Temperature,12,28.783855,2024-07-30T16:29:32.3999570
NDS011,SCD41 CO2,12,467,2024-07-30T16:29:32.3904410
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T16:29:01.5175930
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T16:29:01.5134180
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T16:29:01.5087450
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:29:01.5018830
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:29:01.4971930
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:29:01.4922120
NDS011,7 in 1 Soil Sensor Moisture,12,27.5,2024-07-30T16:29:01.4846060
NDS011,SCD41 Humidity,12,96.095215,2024-07-30T16:29:00.8568340
NDS011,SCD41 Temperature,12,28.799877,2024-07-30T16:29:00.8502550
NDS011,SCD41 CO2,12,468,2024-07-30T16:29:00.8466800
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:28:29.8623930
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:28:29.8591850
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:28:29.8479960
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:28:29.8443030
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:28:29.8403420
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:28:29.8303700
NDS011,7 in 1 Soil Sensor Moisture,12,30.4,2024-07-30T16:28:29.8251200
NDS011,SCD41 Humidity,12,96.17456,2024-07-30T16:28:29.0264110
NDS011,SCD41 Temperature,12,28.781185,2024-07-30T16:28:29.0144540
NDS011,SCD41 CO2,12,469,2024-07-30T16:28:29.0102140
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T16:27:58.3550770
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T16:27:58.3423910
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T16:27:58.3380710
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:27:58.3256040
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T16:27:58.3212640
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:27:58.3091140
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:27:58.3053430
NDS011,SCD41 Humidity,12,96.53925,2024-07-30T16:27:57.5923080
NDS011,SCD41 Temperature,12,28.799877,2024-07-30T16:27:57.5798760
NDS011,SCD41 CO2,12,467,2024-07-30T16:27:57.5752710
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:27:26.8158730
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:27:26.8037160
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:27:26.7994140
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:27:26.7871830
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:27:26.7832990
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:27:26.7710960
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:27:26.7665970
NDS011,SCD41 Humidity,12,96.23865,2024-07-30T16:27:26.1583670
NDS011,SCD41 Temperature,12,28.778515,2024-07-30T16:27:26.1453040
NDS011,SCD41 CO2,12,464,2024-07-30T16:27:26.1408230
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:26:55.3734440
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:26:55.3613770
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:26:55.3574670
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:26:55.3454440
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:26:55.3412160
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:26:55.3287080
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:26:55.3239710
NDS011,SCD41 Humidity,12,96.1181,2024-07-30T16:26:54.7081880
NDS011,SCD41 Temperature,12,28.711758,2024-07-30T16:26:54.6960280
NDS011,SCD41 CO2,12,460,2024-07-30T16:26:54.6917180
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T16:26:24.0299020
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T16:26:24.0251860
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T16:26:24.0134000
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:26:24.0090610
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:26:23.9986900
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:26:23.9952950
NDS011,7 in 1 Soil Sensor Moisture,12,30.2,2024-07-30T16:26:23.9917770
NDS011,SCD41 Humidity,12,96.25239,2024-07-30T16:26:23.2790660
NDS011,SCD41 Temperature,12,28.714428,2024-07-30T16:26:23.2743780
NDS011,SCD41 CO2,12,458,2024-07-30T16:26:23.2628060
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:25:52.5925820
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:25:52.5811210
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:25:52.5770020
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:25:52.5655690
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:25:52.5613130
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:25:52.5493440
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:25:52.5452320
NDS011,SCD41 Humidity,12,95.81903,2024-07-30T16:25:51.8361840
NDS011,SCD41 Temperature,12,28.639658,2024-07-30T16:25:51.8246290
NDS011,SCD41 CO2,12,457,2024-07-30T16:25:51.8205430
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T16:25:21.0352670
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T16:25:21.0260240
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T16:25:21.0227640
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:25:21.0192450
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:25:21.0094230
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:25:21.0062710
NDS011,7 in 1 Soil Sensor Moisture,12,29.8,2024-07-30T16:25:21.0024790
NDS011,SCD41 Humidity,12,95.71374,2024-07-30T16:25:20.1873930
NDS011,SCD41 Temperature,12,28.620966,2024-07-30T16:25:20.1752560
NDS011,SCD41 CO2,12,457,2024-07-30T16:25:20.1707670
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:24:49.4044590
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:24:49.3928000
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:24:49.3879710
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:24:49.3762960
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:24:49.3714500
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:24:49.3594140
NDS011,7 in 1 Soil Sensor Moisture,12,28.8,2024-07-30T16:24:49.3546430
NDS011,SCD41 Humidity,12,95.88617,2024-07-30T16:24:48.6564190
NDS011,SCD41 Temperature,12,28.591593,2024-07-30T16:24:48.6517380
NDS011,SCD41 CO2,12,458,2024-07-30T16:24:48.6403200
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:24:17.9791200
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:24:17.9701580
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:24:17.9660490
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:24:17.9544870
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:24:17.9506020
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:24:17.9388780
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:24:17.9344950
NDS011,SCD41 Humidity,12,95.67712,2024-07-30T16:24:17.2155980
NDS011,SCD41 Temperature,12,28.634317,2024-07-30T16:24:17.2035350
NDS011,SCD41 CO2,12,462,2024-07-30T16:24:17.1995850
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:23:46.4285150
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:23:46.4174410
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:23:46.4126350
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:23:46.4019360
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:23:46.3971720
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:23:46.3858820
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:23:46.3816090
NDS011,SCD41 Humidity,12,95.61761,2024-07-30T16:23:45.7734910
NDS011,SCD41 Temperature,12,28.695736,2024-07-30T16:23:45.7617820
NDS011,SCD41 CO2,12,461,2024-07-30T16:23:45.7574970
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:23:14.9000990
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:23:14.8960910
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:23:14.8918340
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:23:14.8809930
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:23:14.8763160
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:23:14.8653930
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T16:23:14.8612680
NDS011,SCD41 Humidity,12,95.74273,2024-07-30T16:23:14.2342300
NDS011,SCD41 Temperature,12,28.722439,2024-07-30T16:23:14.2295100
NDS011,SCD41 CO2,12,461,2024-07-30T16:23:14.2181600
NDS011,7 in 1 Soil Sensor Potassium,12,513,2024-07-30T16:22:43.4382250
NDS011,7 in 1 Soil Sensor Phosphorus,12,517,2024-07-30T16:22:43.4273230
NDS011,7 in 1 Soil Sensor Nitrogen,12,203,2024-07-30T16:22:43.4220440
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:22:43.4105730
NDS011,7 in 1 Soil Sensor EC,12,1161,2024-07-30T16:22:43.4053760
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:22:43.3942920
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T16:22:43.3805030
NDS011,SCD41 Humidity,12,96.06317,2024-07-30T16:22:42.6830880
NDS011,SCD41 Temperature,12,28.709087,2024-07-30T16:22:42.6780750
NDS011,SCD41 CO2,12,464,2024-07-30T16:22:42.6669210
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T16:22:11.9089800
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T16:22:11.9055770
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T16:22:11.8976580
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:22:11.8945550
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:22:11.8918260
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:22:11.8835880
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:22:11.8797570
NDS011,SCD41 Humidity,12,96.079956,2024-07-30T16:22:11.1618830
NDS011,SCD41 Temperature,12,28.73846,2024-07-30T16:22:11.1504110
NDS011,SCD41 CO2,12,462,2024-07-30T16:22:11.1461570
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:21:40.3962300
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:21:40.3852700
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:21:40.3800450
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:21:40.3694810
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:21:40.3652620
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:21:40.3545170
NDS011,7 in 1 Soil Sensor Moisture,12,29.9,2024-07-30T16:21:40.3503510
NDS011,SCD41 Humidity,12,96.33021,2024-07-30T16:21:39.6114560
NDS011,SCD41 Temperature,12,28.722439,2024-07-30T16:21:39.6003700
NDS011,SCD41 CO2,12,461,2024-07-30T16:21:39.5961480
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T16:21:08.8290870
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T16:21:08.8253240
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T16:21:08.8206690
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:21:08.8100930
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:21:08.8054220
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:21:08.7946970
NDS011,7 in 1 Soil Sensor Moisture,12,28.1,2024-07-30T16:21:08.7904150
NDS011,SCD41 Humidity,12,96.48432,2024-07-30T16:21:07.9666900
NDS011,SCD41 Temperature,12,28.73045,2024-07-30T16:21:07.9584740
NDS011,SCD41 CO2,12,458,2024-07-30T16:21:07.9550800
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T16:20:37.2048930
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T16:20:37.1943160
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T16:20:37.1898970
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:20:37.1791550
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T16:20:37.1740530
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:20:37.1635500
NDS011,7 in 1 Soil Sensor Moisture,12,29.3,2024-07-30T16:20:37.1593830
NDS011,SCD41 Humidity,12,96.26307,2024-07-30T16:20:36.5377940
NDS011,SCD41 Temperature,12,28.685053,2024-07-30T16:20:36.5266600
NDS011,SCD41 CO2,12,456,2024-07-30T16:20:36.5225570
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:20:05.7948530
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:20:05.7844870
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:20:05.7736100
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:20:05.7627340
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:20:05.7571490
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:20:05.7454460
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:20:05.7395180
NDS011,SCD41 Humidity,12,95.861755,2024-07-30T16:20:04.9505240
NDS011,SCD41 Temperature,12,28.636988,2024-07-30T16:20:04.9342800
NDS011,SCD41 CO2,12,453,2024-07-30T16:20:04.8869730
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T16:19:34.1301250
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T16:19:34.1192960
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T16:19:34.1140070
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:19:34.1035950
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T16:19:34.0983460
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:19:34.0873050
NDS011,7 in 1 Soil Sensor Moisture,12,27.9,2024-07-30T16:19:34.0743110
NDS011,SCD41 Humidity,12,95.684746,2024-07-30T16:19:33.3853670
NDS011,SCD41 Temperature,12,28.631647,2024-07-30T16:19:33.3741280
NDS011,SCD41 CO2,12,451,2024-07-30T16:19:33.3685020
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:19:02.5794320
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:19:02.5755300
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:19:02.5662420
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:19:02.5622840
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:19:02.5578630
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:19:02.5462800
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:19:02.5345680
NDS011,SCD41 Humidity,12,95.36584,2024-07-30T16:19:01.8125370
NDS011,SCD41 Temperature,12,28.599604,2024-07-30T16:19:01.8084410
NDS011,SCD41 CO2,12,453,2024-07-30T16:19:01.7972810
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:18:31.0403660
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:18:31.0360030
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:18:31.0255240
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:18:31.0208610
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:18:31.0167950
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:18:31.0083730
NDS011,7 in 1 Soil Sensor Moisture,12,29.1,2024-07-30T16:18:31.0047460
NDS011,SCD41 Humidity,12,95.44976,2024-07-30T16:18:30.3617490
NDS011,SCD41 Temperature,12,28.610285,2024-07-30T16:18:30.3507370
NDS011,SCD41 CO2,12,453,2024-07-30T16:18:30.3465960
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:17:59.5965680
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:17:59.5931930
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:17:59.5853250
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:17:59.5807500
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:17:59.5768630
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:17:59.5668610
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:17:59.5622810
NDS011,SCD41 Humidity,12,95.54894,2024-07-30T16:17:58.7420150
NDS011,SCD41 Temperature,12,28.642328,2024-07-30T16:17:58.7328530
NDS011,SCD41 CO2,12,454,2024-07-30T16:17:58.7157720
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T16:17:27.8671580
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T16:17:27.8635720
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T16:17:27.8593910
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:17:27.8493070
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T16:17:27.8442410
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:17:27.8336930
NDS011,7 in 1 Soil Sensor Moisture,12,28.1,2024-07-30T16:17:27.8285900
NDS011,SCD41 Humidity,12,95.31396,2024-07-30T16:17:27.0933010
NDS011,SCD41 Temperature,12,28.636988,2024-07-30T16:17:27.0871840
NDS011,SCD41 CO2,12,455,2024-07-30T16:17:27.0730200
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:16:56.3196180
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:16:56.3093740
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:16:56.3054850
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:16:56.2963470
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:16:56.2920470
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:16:56.2874290
NDS011,7 in 1 Soil Sensor Moisture,12,29.7,2024-07-30T16:16:56.2776520
NDS011,SCD41 Humidity,12,95.42077,2024-07-30T16:16:55.5475380
NDS011,SCD41 Temperature,12,28.66369,2024-07-30T16:16:55.5359950
NDS011,SCD41 CO2,12,458,2024-07-30T16:16:55.5318480
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:16:24.7740210
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:16:24.7702190
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:16:24.7630450
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:16:24.7595540
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:16:24.7561350
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:16:24.7480460
NDS011,7 in 1 Soil Sensor Moisture,12,27.9,2024-07-30T16:16:24.7436440
NDS011,SCD41 Humidity,12,95.49706,2024-07-30T16:16:24.0488110
NDS011,SCD41 Temperature,12,28.690395,2024-07-30T16:16:24.0410850
NDS011,SCD41 CO2,12,459,2024-07-30T16:16:24.0363080
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:15:53.2008710
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:15:53.1963220
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:15:53.1885230
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:15:53.1836940
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:15:53.1741250
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:15:53.1697880
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:15:53.1588820
NDS011,SCD41 Humidity,12,95.62676,2024-07-30T16:15:52.3648230
NDS011,SCD41 Temperature,12,28.759823,2024-07-30T16:15:52.3544980
NDS011,SCD41 CO2,12,459,2024-07-30T16:15:52.3504870
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:15:21.6895170
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:15:21.6852160
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:15:21.6745830
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:15:21.6703840
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:15:21.6657400
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:15:21.6553060
NDS011,7 in 1 Soil Sensor Moisture,12,29.9,2024-07-30T16:15:21.6509410
NDS011,SCD41 Humidity,12,95.64202,2024-07-30T16:15:20.8436840
NDS011,SCD41 Temperature,12,28.73846,2024-07-30T16:15:20.8331440
NDS011,SCD41 CO2,12,457,2024-07-30T16:15:20.8289790
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:14:50.1512170
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:14:50.1411680
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:14:50.1371220
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:14:50.1324010
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:14:50.1227240
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:14:50.1183090
NDS011,7 in 1 Soil Sensor Moisture,12,29.3,2024-07-30T16:14:50.1080380
NDS011,SCD41 Humidity,12,95.74883,2024-07-30T16:14:49.3917030
NDS011,SCD41 Temperature,12,28.73846,2024-07-30T16:14:49.3874700
NDS011,SCD41 CO2,12,455,2024-07-30T16:14:49.3775250
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T16:14:18.5983590
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T16:14:18.5942170
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:14:18.5841490
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:14:18.5803940
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T16:14:18.5755020
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:14:18.5658910
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:14:18.5615180
NDS011,SCD41 Humidity,12,95.20714,2024-07-30T16:14:17.8434320
NDS011,SCD41 Temperature,12,28.679712,2024-07-30T16:14:17.8386090
NDS011,SCD41 CO2,12,454,2024-07-30T16:14:17.8284920
NDS011,7 in 1 Soil Sensor Potassium,12,513,2024-07-30T16:13:47.0884090
NDS011,7 in 1 Soil Sensor Phosphorus,12,517,2024-07-30T16:13:47.0851540
NDS011,7 in 1 Soil Sensor Nitrogen,12,203,2024-07-30T16:13:47.0774030
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:13:47.0734520
NDS011,7 in 1 Soil Sensor EC,12,1161,2024-07-30T16:13:47.0699870
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:13:47.0607340
NDS011,7 in 1 Soil Sensor Moisture,12,31.7,2024-07-30T16:13:47.0511720
NDS011,SCD41 Humidity,12,95.21477,2024-07-30T16:13:46.3177160
NDS011,SCD41 Temperature,12,28.65835,2024-07-30T16:13:46.3128120
NDS011,SCD41 CO2,12,453,2024-07-30T16:13:46.3084710
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T16:13:15.5251390
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T16:13:15.5222420
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T16:13:15.5188650
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T16:13:15.5143540
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T16:13:15.5076800
NDS011,7 in 1 Soil Sensor Temperature,12,29.7,2024-07-30T16:13:15.5041860
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T16:13:15.4996410
NDS011,SCD41 Humidity,12,95.27886,2024-07-30T16:13:14.7657940
NDS011,SCD41 Temperature,12,28.66369,2024-07-30T16:13:14.7613890
NDS011,SCD41 CO2,12,459,2024-07-30T16:13:14.7505080
