devicename,sensor,deviceid,value,dbtimestamp
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:44:50.4511850
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:44:50.4416590
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T18:44:50.4376860
NDS011,SCD41 Humidity,12,95.74273,2024-07-30T18:44:49.8067990
NDS011,SCD41 Temperature,12,28.610285,2024-07-30T18:44:49.7980890
NDS011,SCD41 CO2,12,467,2024-07-30T18:44:49.7939420
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:44:19.1194580
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:44:19.1101030
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:44:19.1060930
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:44:19.1021140
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:44:19.0930400
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:44:19.0887700
NDS011,7 in 1 Soil Sensor Moisture,12,27.7,2024-07-30T18:44:19.0844860
NDS011,SCD41 Humidity,12,95.71984,2024-07-30T18:44:18.3778120
NDS011,SCD41 Temperature,12,28.631647,2024-07-30T18:44:18.3689770
NDS011,SCD41 CO2,12,467,2024-07-30T18:44:18.3648470
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:43:47.6755790
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:43:47.6667530
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:43:47.6624030
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:43:47.6579110
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:43:47.6489840
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:43:47.6450040
NDS011,7 in 1 Soil Sensor Moisture,12,28.2,2024-07-30T18:43:47.6362840
NDS011,SCD41 Humidity,12,95.84955,2024-07-30T18:43:46.9358050
NDS011,SCD41 Temperature,12,28.612955,2024-07-30T18:43:46.9266350
NDS011,SCD41 CO2,12,463,2024-07-30T18:43:46.9227070
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:43:16.2414450
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:43:16.2325450
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:43:16.2283500
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:43:16.2241890
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:43:16.2152570
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:43:16.2112530
NDS011,7 in 1 Soil Sensor Moisture,12,27.9,2024-07-30T18:43:16.2069300
NDS011,SCD41 Humidity,12,95.58709,2024-07-30T18:43:15.5964620
NDS011,SCD41 Temperature,12,28.540855,2024-07-30T18:43:15.5918500
NDS011,SCD41 CO2,12,460,2024-07-30T18:43:15.5868270
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:42:44.8222480
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:42:44.8132460
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:42:44.8090410
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:42:44.8048630
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:42:44.7958000
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:42:44.7916240
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:42:44.7874680
NDS011,SCD41 Humidity,12,95.37957,2024-07-30T18:42:44.1689550
NDS011,SCD41 Temperature,12,28.535515,2024-07-30T18:42:44.1598210
NDS011,SCD41 CO2,12,458,2024-07-30T18:42:44.1556320
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:42:13.4836920
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:42:13.4742990
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:42:13.4699910
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:42:13.4658270
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:42:13.4569810
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:42:13.4529450
NDS011,7 in 1 Soil Sensor Moisture,12,27.9,2024-07-30T18:42:13.4488230
NDS011,SCD41 Humidity,12,94.6273,2024-07-30T18:42:12.6210350
NDS011,SCD41 Temperature,12,28.49012,2024-07-30T18:42:12.6121980
NDS011,SCD41 CO2,12,455,2024-07-30T18:42:12.6079870
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:41:41.8394790
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:41:41.8352570
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:41:41.8266490
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:41:41.8215790
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:41:41.8126050
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:41:41.8080350
NDS011,7 in 1 Soil Sensor Moisture,12,28.7,2024-07-30T18:41:41.8036310
NDS011,SCD41 Humidity,12,94.70664,2024-07-30T18:41:41.1912220
NDS011,SCD41 Temperature,12,28.503471,2024-07-30T18:41:41.1813380
NDS011,SCD41 CO2,12,456,2024-07-30T18:41:41.1773360
NDS011,7 in 1 Soil Sensor Potassium,12,519,2024-07-30T18:41:10.4941180
NDS011,7 in 1 Soil Sensor Phosphorus,12,522,2024-07-30T18:41:10.4849580
NDS011,7 in 1 Soil Sensor Nitrogen,12,206,2024-07-30T18:41:10.4809580
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:41:10.4768200
NDS011,7 in 1 Soil Sensor EC,12,1173,2024-07-30T18:41:10.4681140
NDS011,7 in 1 Soil Sensor Temperature,12,29.4,2024-07-30T18:41:10.4638070
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:41:10.4595420
NDS011,SCD41 Humidity,12,95.09422,2024-07-30T18:41:09.5701820
NDS011,SCD41 Temperature,12,28.530174,2024-07-30T18:41:09.5606260
NDS011,SCD41 CO2,12,458,2024-07-30T18:41:09.5478410
NDS011,7 in 1 Soil Sensor Potassium,12,520,2024-07-30T18:40:38.8635020
NDS011,7 in 1 Soil Sensor Phosphorus,12,524,2024-07-30T18:40:38.8549400
NDS011,7 in 1 Soil Sensor Nitrogen,12,207,2024-07-30T18:40:38.8507340
NDS011,7 in 1 Soil Sensor PH,12,4.6,2024-07-30T18:40:38.8466910
NDS011,7 in 1 Soil Sensor EC,12,1176,2024-07-30T18:40:38.8380840
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:40:38.8340770
NDS011,7 in 1 Soil Sensor Moisture,12,29.9,2024-07-30T18:40:38.8294710
NDS011,SCD41 Humidity,12,94.61356,2024-07-30T18:40:38.1081990
NDS011,SCD41 Temperature,12,28.506142,2024-07-30T18:40:38.0997300
NDS011,SCD41 CO2,12,459,2024-07-30T18:40:38.0953220
NDS011,7 in 1 Soil Sensor Potassium,12,517,2024-07-30T18:40:07.3236740
NDS011,7 in 1 Soil Sensor Phosphorus,12,521,2024-07-30T18:40:07.3150670
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:40:07.3110730
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:40:07.3068470
NDS011,7 in 1 Soil Sensor EC,12,1170,2024-07-30T18:40:07.2985390
NDS011,7 in 1 Soil Sensor Temperature,12,29.5,2024-07-30T18:40:07.2943560
NDS011,7 in 1 Soil Sensor Moisture,12,27.6,2024-07-30T18:40:07.2903530
NDS011,SCD41 Humidity,12,94.476234,2024-07-30T18:40:06.6820850
NDS011,SCD41 Temperature,12,28.49813,2024-07-30T18:40:06.6731500
NDS011,SCD41 CO2,12,460,2024-07-30T18:40:06.6689650
NDS011,7 in 1 Soil Sensor Potassium,12,516,2024-07-30T18:39:36.0057510
NDS011,7 in 1 Soil Sensor Phosphorus,12,520,2024-07-30T18:39:36.0014350
NDS011,7 in 1 Soil Sensor Nitrogen,12,205,2024-07-30T18:39:35.9968420
NDS011,7 in 1 Soil Sensor PH,12,4.7,2024-07-30T18:39:35.9867900
NDS011,7 in 1 Soil Sensor EC,12,1167,2024-07-30T18:39:35.9820420
